category,march_volume,matched_human_responses,match_rate,high_automation_count,medium_automation_count,low_automation_count,recommended_handling,automation_scope,approved_ai_response_pattern
reservation_faq_policy,73,13,0.18,21,37,15,automate_for_stable_facts,Safe to automate for reservation FAQs and policy explanations when property facts are stable and known.,"Answer the guest's policy or informational question directly, use current property facts only, and invite follow-up if the guest needs more detail."
billing_documents,67,3,0.04,42,18,7,automate,"Safe to automate for receipt, folio, invoice, and statement requests after verifying stay details.","Thank the sender, confirm the requested billing document will be retrieved, ask for missing stay details if needed, and give a conservative follow-up window."
billing_disputes_refunds,36,2,0.06,1,18,17,ai_draft_with_human_review,Use AI for acknowledgement and review language only. Billing disputes and refund outcomes require review.,"Acknowledge the concern, state the billing team will review the details, and avoid promising a refund, correction, or resolution timeline without verification."
reservation_changes_or_exceptions,32,6,0.19,0,22,10,ai_draft_with_light_review,"Good for guest-facing drafting on reservation changes, room requests, and exceptions. Review is recommended before send.","Acknowledge the request, explain any availability or policy limits, use subject-to-availability language, and give the next step without guaranteeing special requests."
collaboration_and_partnerships,7,0,0.00,0,1,6,human_only_or_controlled_acknowledgement,Auto-acknowledge or route only. Business evaluation stays human-led.,"Thank the sender for the outreach, state the proposal will be reviewed by the appropriate team, and avoid any commitment to partner, sponsor, or meet."
security_and_trespass_requests,3,1,0.33,0,1,2,human_only,Acknowledge receipt only. Resolution stays with security or leadership.,"Acknowledge the message, state that the matter has been forwarded to the appropriate team, and avoid any substantive decision or promise."
amenities_and_services,2,0,0.00,0,1,1,automate_for_stable_facts,"Auto for parking, shuttle, spa, cabana, and amenity basics when facts are known. Human review for event-specific access rules.","Provide the known facility or amenity answer directly. If event-specific rules may vary, state that the team will confirm current details."
customer_feedback_and_complaints,2,1,0.50,0,0,2,ai_draft_with_human_review,Use AI for empathetic acknowledgement and escalation language. Human review should approve any service recovery response.,"Acknowledge the concern, apologize for the experience, and explain that the appropriate guest services or leadership team will review and follow up."
other,2,0,0.00,1,0,1,human_triage,Use a neutral acknowledgement and route for manual review.,"Thank the sender, acknowledge the message, and state the correct team will review it if appropriate."
employment_verifications,1,0,0.00,0,1,0,automate_routing,Auto-route to HR or employment verification contact.,Acknowledge the request and direct the sender to the HR or verification contact without disclosing employee information in the reply.
tax_and_compliance_requests,1,0,0.00,1,0,0,human_triage,Use a neutral acknowledgement and route for manual review.,"Thank the sender, acknowledge the message, and state the correct team will review it if appropriate."
automated_notifications,1,0,0.00,1,0,0,human_triage,Use a neutral acknowledgement and route for manual review.,"Thank the sender, acknowledge the message, and state the correct team will review it if appropriate."
