category,march_volume,matched_human_responses,match_rate,high_automation_count,medium_automation_count,low_automation_count,recommended_handling,automation_scope,approved_ai_response_pattern
billing_and_receipts,88,4,0.05,33,38,17,split_auto_and_human_review,"Auto for receipt, folio, and invoice requests. Human review for refunds, disputes, and charge complaints.","Acknowledge the request, confirm document retrieval or review, ask for missing stay details if needed, and give a conservative follow-up window. Do not promise refunds or billing outcomes."
reservation_inquiries,46,8,0.17,14,28,4,ai_draft_with_light_review,"Suitable for FAQ-style booking questions and policy explanations. Review required for inventory, upgrades, or exceptions.","Answer the policy or booking question directly, use subject-to-availability language where needed, and give a clear next step without guaranteeing special requests."
collaboration_and_partnerships,24,0,0.00,1,18,5,human_only_or_controlled_acknowledgement,Auto-acknowledge or route only. Business evaluation stays human-led.,"Thank the sender for the outreach, state the proposal will be reviewed by the appropriate team, and avoid any commitment to partner, sponsor, or meet."
transportation_and_facilities,18,3,0.17,6,7,5,automate_for_stable_facts,"Auto for parking, shuttle, spa, cabana, and amenity basics when facts are known. Human review for event-specific access rules.","Provide the known facility or amenity answer directly. If event-specific rules may vary, state that the team will confirm current details."
marketing_and_media,14,1,0.07,2,5,7,human_only_or_acknowledgement,Auto-acknowledge only. Marketing decisions remain human-led.,Thank the sender for the proposal and state it will be reviewed by the marketing or communications team if relevant.
event_and_meeting_requests,12,3,0.25,1,8,3,ai_draft_with_human_review,"Good for initial intake and clarification. Pricing, contract terms, and custom commitments require human review.","Acknowledge the request, gather missing details, and explain that the events or group team will confirm availability, rates, and logistics."
security_and_trespass_requests,7,1,0.14,1,0,6,human_only,Acknowledge receipt only. Resolution stays with security or leadership.,"Acknowledge the message, state that the matter has been forwarded to the appropriate team, and avoid any substantive decision or promise."
general_information_requests,5,2,0.40,3,1,1,automate,Good fit for FAQ responses and policy clarification.,"Answer the question directly, clarify the policy or promotion wording, and invite follow-up if the guest needs more detail."
lost_and_found,4,0,0.00,0,3,1,ai_draft_with_human_review,Good for acknowledgement and intake. Status updates depend on internal confirmation.,"Thank the guest, confirm the item description will be checked with lost and found, and say the team will follow up."
other,4,0,0.00,1,0,3,human_triage,Use a neutral acknowledgement and route for manual review.,"Thank the sender, acknowledge the message, and state the correct team will review it if appropriate."
loyalty_and_rewards,3,3,1.00,1,1,1,split_auto_and_human_review,"Auto for routine statement or program guidance. Human review for fraud, account corrections, and exception requests.","For routine requests, explain the process or next step. For account issues, acknowledge the concern and route to the loyalty team for verification."
employment_verification,2,1,0.50,1,1,0,automate_routing,Auto-route to HR or employment verification contact.,Acknowledge the request and direct the sender to the HR or verification contact without disclosing employee information in the reply.
